business_name,insta_followers,insta_like_range_month_m,insta_view_range_month_m,insta_comment_range_month_m,insta_like_range_month_m_1,insta_comment_range_month_m_1,insta_view_range_month_m_1
Orleans Bar & Restaurant,1044.0,"(13.95, 67.2]","(-0.001, 2083.75]","(-0.001, 2.0]","(-0.001, 13.95]","(-0.001, 2.0]","(-0.001, 2083.75]"
Orleans Bar & Restaurant,1044.0,"(-0.001, 13.95]","(-0.001, 2083.75]","(-0.001, 2.0]","(13.95, 67.2]","(2.0, 7.0]","(-0.001, 2083.75]"
Orleans Bar & Restaurant,1044.0,"(13.95, 67.2]","(-0.001, 2083.75]","(2.0, 7.0]","(13.95, 67.2]","(-0.001, 2.0]","(-0.001, 2083.75]"
Orleans Bar & Restaurant,1044.0,"(13.95, 67.2]","(-0.001, 2083.75]","(-0.001, 2.0]","(-0.001, 13.95]","(-0.001, 2.0]","(-0.001, 2083.75]"
Nagomi Kenmore,2290.0,"(13.95, 67.2]","(-0.001, 2083.75]","(-0.001, 2.0]","(13.95, 67.2]","(2.0, 7.0]","(-0.001, 2083.75]"
Nagomi Kenmore,2290.0,"(13.95, 67.2]","(-0.001, 2083.75]","(2.0, 7.0]","(13.95, 67.2]","(-0.001, 2.0]","(-0.001, 2083.75]"
Nagomi Kenmore,2290.0,"(13.95, 67.2]","(-0.001, 2083.75]","(-0.001, 2.0]","(13.95, 67.2]","(2.0, 7.0]","(-0.001, 2083.75]"
Nagomi Kenmore,2290.0,"(13.95, 67.2]","(-0.001, 2083.75]","(2.0, 7.0]","(67.2, 181.1]","(2.0, 7.0]","(2083.75, 359000.0]"
Nagomi Kenmore,2290.0,"(67.2, 181.1]","(2083.75, 359000.0]","(2.0, 7.0]","(13.95, 67.2]","(2.0, 7.0]","(-0.001, 2083.75]"
The Lexington,44431.0,"(13.95, 67.2]","(-0.001, 2083.75]","(-0.001, 2.0]","(13.95, 67.2]","(-0.001, 2.0]","(-0.001, 2083.75]"
